EmpDepartment,EmpJobRole,EmpEnvironmentSatisfaction,EmpLastSalaryHikePercent,YearsSinceLastPromotion,ExperienceYearsInCurrentRole,EmpWorkLifeBalance,YearsWithCurrManager,ExperienceYearsAtThisCompany,EmpJobLevel,PerformanceRating
Sales,Sales Executive,3,14,7,7,3,7,8,2,3
Sales,Sales Executive,1,13,2,2,1,2,2,2,2
Sales,Sales Executive,2,11,6,8,3,7,10,2,2
Human Resources,Human Resources,3,11,1,3,3,2,6,2,3
Sales,Sales Executive,3,12,1,2,3,3,4,3,3
Research & Development,Laboratory Technician,1,12,0,0,3,0,1,1,3
Research & Development,Manufacturing Director,3,16,1,7,3,9,33,3,3
Research & Development,Manufacturing Director,3,11,1,2,3,4,5,2,3
Research & Development,Manager R&D,3,12,7,2,2,6,8,1,3
Research & Development,Research Scientist,1,13,0,0,1,0,1,1,3
Sales,Manager,3,21,2,6,3,13,36,5,4
Research & Development,Manager R&D,2,17,2,2,2,1,2,2,2
Sales,Sales Executive,3,11,7,8,3,7,9,2,3
Sales,Sales Executive,2,13,0,0,3,0,1,2,3
Research & Development,Manager R&D,2,18,1,9,3,5,10,1,2
Research & Development,Healthcare Representative,1,16,0,2,3,4,5,2,3
Sales,Sales Executive,4,11,7,6,3,6,7,3,3
Finance,Finance Manager,1,19,1,4,4,3,6,2,2
Sales,Manager,3,16,0,0,3,0,1,5,3
Finance,Finance Manager,4,16,2,2,3,2,2,1,3
Finance,Finance Manager,2,17,6,9,2,8,10,2,2
Finance,Finance Manager,4,14,7,2,2,7,8,2,3
Finance,Finance Manager,4,12,0,4,3,2,6,1,3
Finance,Finance Manager,3,17,0,1,3,0,1,1,3
Finance,Finance Manager,2,14,1,2,2,3,4,1,2
Finance,Finance Manager,2,15,12,8,3,13,30,4,2
Finance,Finance Manager,2,17,0,2,3,2,3,1,3
Finance,Finance Manager,2,14,1,7,2,10,22,5,2
Finance,Finance Manager,2,12,1,4,2,1,6,1,2
Finance,Finance Manager,3,14,1,7,3,4,10,2,3
Sales,Sales Executive,1,15,4,7,3,5,10,2,2
Sales,Sales Executive,4,13,0,2,3,3,5,2,3
Finance,Finance Manager,3,12,1,2,3,1,3,2,3
Finance,Finance Manager,3,13,7,7,3,2,9,2,3
Finance,Finance Manager,3,14,1,6,2,4,9,1,3
Finance,Finance Manager,4,11,0,7,3,7,7,1,3
Finance,Finance Manager,2,11,1,15,3,10,16,2,2
Finance,Finance Manager,2,21,0,3,2,0,5,2,3
Finance,Finance Manager,3,18,2,2,3,2,2,1,3
Sales,Sales Representative,2,12,0,0,4,0,0,1,3
Human Resources,Manager,4,11,1,2,3,0,5,5,3
Finance,Finance Manager,3,15,0,8,3,7,10,2,3
Finance,Finance Manager,3,12,2,11,3,9,14,2,3
Finance,Finance Manager,3,17,0,3,2,2,4,2,3
Finance,Finance Manager,1,13,3,2,1,8,9,2,2
Finance,Finance Manager,4,19,0,4,4,2,5,3,3
Finance,Finance Manager,2,11,7,4,1,7,8,1,2
Finance,Finance Manager,3,15,3,2,2,3,4,3,3
Human Resources,Human Resources,1,11,0,7,3,2,10,2,3
Sales,Sales Executive,1,14,2,2,2,2,2,2,2
Finance,Finance Manager,1,13,1,3,3,3,6,1,2
Finance,Finance Manager,2,17,0,2,3,2,3,1,3
Finance,Finance Manager,4,13,1,2,2,2,4,1,3
Finance,Finance Manager,4,17,0,7,3,7,7,2,3
Finance,Finance Manager,4,21,1,4,3,0,5,2,4
Finance,Finance Manager,1,16,1,2,3,2,4,4,2
Finance,Finance Manager,4,15,1,11,3,11,14,3,3
Sales,Sales Representative,3,19,2,2,3,2,2,1,3
Finance,Finance Manager,4,12,7,8,3,9,11,2,3
Finance,Finance Manager,1,11,1,3,3,3,4,1,2
Finance,Finance Manager,3,19,2,11,3,12,15,4,3
Finance,Finance Manager,4,15,1,2,3,2,3,2,3
Finance,Finance Manager,4,20,0,4,3,4,5,2,4
Finance,Finance Manager,2,25,4,8,3,7,10,4,2
Finance,Finance Manager,3,24,6,10,3,11,14,4,4
Sales,Sales Executive,4,24,6,9,4,7,11,2,4
Sales,Sales Executive,1,13,0,0,2,9,10,2,3
Sales,Sales Executive,4,14,0,2,3,4,6,2,3
Finance,Finance Manager,4,13,1,5,2,6,9,2,3
Sales,Sales Executive,1,11,0,0,3,2,10,2,3
Finance,Finance Manager,4,16,2,2,2,2,2,1,3
Sales,Sales Representative,4,11,0,2,3,2,2,1,3
Sales,Sales Executive,3,25,1,5,3,2,6,2,4
Finance,Finance Manager,1,14,0,2,2,2,3,2,3
Human Resources,Human Resources,3,18,2,2,3,2,2,1,3
Finance,Finance Manager,4,11,1,4,3,2,5,1,3
Finance,Finance Manager,4,19,0,0,2,0,0,1,3
Finance,Finance Manager,2,15,1,3,3,2,4,3,2
Sales,Sales Representative,4,11,7,7,3,7,9,1,3
Finance,Finance Manager,4,12,0,0,3,0,1,1,3
Finance,Finance Manager,4,20,5,7,3,7,7,1,4
Finance,Finance Manager,1,12,1,2,3,2,4,1,2
Research & Development,Manager R&D,2,14,4,10,4,13,15,2,2
Research & Development,Healthcare Representative,3,20,0,0,4,0,1,3,4
Sales,Sales Executive,3,14,1,3,2,3,6,2,3
Research & Development,Research Scientist,2,12,8,9,3,7,10,1,2
Research & Development,Healthcare Representative,3,19,6,7,3,7,8,3,3
Sales,Sales Executive,4,17,8,9,3,8,10,2,3
Research & Development,Manager R&D,4,17,1,3,3,2,5,1,3
Sales,Sales Representative,3,15,6,7,2,7,13,2,3
Research & Development,Manager R&D,3,23,14,15,2,4,23,3,4
Research & Development,Laboratory Technician,4,15,0,2,4,2,3,1,3
Research & Development,Manager R&D,4,11,8,6,3,6,21,4,3
Research & Development,Laboratory Technician,2,14,0,2,4,3,5,1,3
Human Resources,Human Resources,3,19,1,2,3,2,3,2,3
Research & Development,Manufacturing Director,2,16,0,0,3,0,1,2,3
Research & Development,Laboratory Technician,2,13,1,2,4,2,6,1,2
Research & Development,Healthcare Representative,3,14,0,7,3,9,10,2,3
Research & Development,Research Scientist,2,12,0,0,2,8,10,1,3
Sales,Sales Executive,3,11,0,0,1,0,1,2,3
Sales,Sales Executive,3,12,0,6,2,3,10,3,3
Sales,Sales Executive,2,13,2,2,3,2,2,2,2
Sales,Sales Executive,1,15,0,0,3,0,0,2,3
Research & Development,Manufacturing Director,4,20,1,4,2,4,5,2,4
Research & Development,Laboratory Technician,4,15,5,8,3,8,9,2,3
Sales,Sales Executive,4,13,0,3,1,2,4,3,3
Sales,Manager,2,14,12,8,2,8,21,5,2
Human Resources,Human Resources,3,21,0,0,4,3,5,3,4
Research & Development,Manager R&D,4,16,0,7,3,7,9,1,3
Human Resources,Human Resources,1,14,2,2,3,1,2,1,2
Human Resources,Human Resources,3,11,1,2,2,2,4,1,3
Sales,Sales Executive,1,19,0,2,3,2,5,2,4
Research & Development,Manager R&D,3,11,1,2,2,4,6,1,3
Sales,Sales Representative,2,13,2,2,3,2,2,1,2
Research & Development,Healthcare Representative,4,12,0,2,4,2,3,2,3
Sales,Sales Executive,3,11,1,7,3,7,7,3,3
Research & Development,Research Scientist,4,14,1,0,3,2,5,1,3
Sales,Sales Executive,4,15,1,7,2,7,11,2,3
Sales,Sales Executive,4,12,0,1,4,4,5,2,3
Sales,Sales Executive,1,20,0,0,2,0,0,3,4
Research & Development,Laboratory Technician,3,14,0,1,2,5,6,1,3
Research & Development,Research Scientist,2,14,0,7,3,7,7,1,3
Research & Development,Healthcare Representative,2,16,1,0,3,0,1,2,3
Research & Development,Research Scientist,3,16,0,0,3,0,1,1,3
Research & Development,Research Director,3,12,0,0,3,0,1,5,3
Research & Development,Research Scientist,4,15,1,8,2,7,9,2,3
Research & Development,Laboratory Technician,3,20,0,3,3,4,5,1,4
Sales,Sales Executive,4,14,0,14,3,7,15,2,3
Research & Development,Manufacturing Director,1,20,0,2,2,2,3,4,3
Human Resources,Human Resources,2,13,1,7,3,8,9,1,2
Sales,Sales Executive,4,12,2,2,3,2,2,2,3
Sales,Sales Representative,2,13,1,0,3,0,1,1,3
Research & Development,Manager R&D,4,11,0,4,3,4,5,1,3
Research & Development,Manager R&D,3,17,0,0,3,0,1,1,3
Sales,Sales Executive,1,14,5,7,3,7,12,2,2
Research & Development,Research Director,3,17,2,1,3,2,2,5,3
Research & Development,Manager R&D,4,13,5,8,3,7,12,3,3
Research & Development,Research Scientist,3,12,2,3,2,3,5,1,3
Human Resources,Human Resources,3,13,4,0,2,7,10,2,3
Research & Development,Research Scientist,4,19,7,8,3,6,10,1,3
Sales,Sales Executive,2,15,2,2,3,2,2,2,2
Research & Development,Laboratory Technician,3,17,0,3,2,2,4,1,3
Research & Development,Manager R&D,2,14,1,7,3,7,7,2,2
Human Resources,Human Resources,1,13,3,10,3,8,11,1,2
Research & Development,Laboratory Technician,4,17,0,1,2,7,7,2,3
Sales,Sales Executive,3,18,2,1,3,2,2,2,3
Research & Development,Research Scientist,1,13,1,2,2,2,3,1,2
Research & Development,Healthcare Representative,2,12,1,2,1,2,3,2,2
Sales,Sales Executive,3,13,13,14,4,5,22,3,3
Sales,Sales Executive,2,21,4,8,3,8,10,2,2
Sales,Manager,2,22,14,9,2,14,16,4,2
Research & Development,Laboratory Technician,2,16,0,4,4,3,5,1,3
Research & Development,Manager R&D,3,12,14,11,3,10,22,3,3
Research & Development,Healthcare Representative,2,12,7,4,3,7,7,2,2
Research & Development,Research Scientist,4,15,1,1,2,7,7,2,3
Sales,Sales Executive,1,14,2,2,3,2,3,3,2
Sales,Sales Representative,2,20,0,2,2,3,4,2,3
Sales,Sales Executive,3,13,1,3,3,2,5,2,3
Research & Development,Manager R&D,1,14,2,2,3,2,2,4,2
Research & Development,Manager R&D,2,16,0,0,1,0,0,1,3
Human Resources,Human Resources,4,17,0,0,3,0,1,1,3
Sales,Sales Executive,3,22,5,7,4,7,8,2,4
Research & Development,Research Scientist,4,22,0,0,3,0,1,2,4
Sales,Sales Executive,1,20,7,7,3,7,7,2,2
Research & Development,Manager R&D,4,14,0,4,2,2,5,1,3
Research & Development,Laboratory Technician,4,13,3,8,4,10,11,1,3
Sales,Sales Executive,4,13,0,0,4,0,0,2,3
Research & Development,Research Scientist,3,22,3,3,2,3,6,1,4
Research & Development,Laboratory Technician,2,12,2,2,3,0,2,1,2
Research & Development,Manufacturing Director,4,14,4,8,2,7,9,3,3
Human Resources,Human Resources,3,15,2,2,3,2,3,1,3
Research & Development,Healthcare Representative,4,17,1,0,3,6,7,2,3
Research & Development,Manager R&D,4,13,0,0,3,0,0,1,3
Sales,Sales Executive,3,12,2,2,2,2,2,2,3
Sales,Sales Executive,1,12,2,17,3,8,19,4,2
Sales,Sales Representative,2,21,5,8,3,8,9,2,2
Human Resources,Human Resources,4,11,0,0,3,0,1,1,3
Research & Development,Manager R&D,4,12,12,10,3,9,22,5,3
Research & Development,Research Scientist,4,24,1,0,2,0,1,1,4
Research & Development,Research Scientist,2,20,0,2,4,4,5,1,3
Sales,Sales Representative,2,19,0,0,3,0,1,1,3
Sales,Sales Representative,2,13,0,0,2,0,1,1,3
Research & Development,Research Scientist,4,23,0,0,3,0,1,1,4
Sales,Sales Executive,2,13,1,9,3,7,10,2,2
Sales,Sales Executive,3,13,1,3,3,0,5,3,3
Research & Development,Laboratory Technician,4,14,1,2,3,2,3,1,3
Research & Development,Research Scientist,4,22,0,3,3,4,5,2,4
Research & Development,Manufacturing Director,4,11,0,2,3,2,3,2,3
Research & Development,Manufacturing Director,2,13,3,8,2,8,9,2,2
Human Resources,Human Resources,2,21,0,1,2,8,10,2,4
Research & Development,Manager R&D,1,11,11,7,3,16,19,4,2
Research & Development,Research Scientist,2,13,1,0,2,0,1,1,3
Sales,Sales Executive,1,14,0,7,2,7,8,2,3
Research & Development,Manager,4,11,4,17,3,7,22,4,3
Research & Development,Healthcare Representative,2,15,2,0,3,2,2,2,3
Research & Development,Research Scientist,4,23,3,2,3,0,5,1,4
Research & Development,Manager R&D,1,16,1,2,3,0,4,1,2
Sales,Sales Executive,3,16,1,2,1,3,4,2,2
Sales,Sales Executive,3,21,1,4,3,4,5,2,4
Research & Development,Manager R&D,3,13,5,7,4,7,13,3,3
Sales,Sales Executive,3,11,1,2,3,4,5,2,3
Sales,Sales Executive,4,12,0,2,2,1,4,2,3
Research & Development,Laboratory Technician,1,12,2,2,2,2,2,1,2
Research & Development,Manager R&D,3,18,7,7,3,7,7,1,3
Research & Development,Manager R&D,2,12,0,2,3,3,4,2,3
Sales,Sales Executive,2,14,0,4,2,9,10,2,3
Sales,Sales Executive,3,12,0,7,3,7,7,2,3
Sales,Sales Executive,1,19,1,2,3,2,3,2,2
Research & Development,Manager R&D,2,11,1,3,2,2,5,1,2
Research & Development,Research Scientist,3,15,6,10,3,11,15,2,3
Research & Development,Manager R&D,3,18,1,7,4,7,8,2,3
Sales,Sales Executive,4,16,0,0,3,0,0,2,3
Research & Development,Manager R&D,4,16,0,11,3,7,20,2,3
Sales,Manager,4,13,0,0,2,0,1,4,3
Research & Development,Research Scientist,1,14,0,1,3,3,4,1,3
Research & Development,Manager R&D,2,19,0,2,4,3,5,1,4
Research & Development,Manager R&D,2,15,4,4,3,3,5,5,2
Sales,Sales Executive,2,12,0,0,3,0,0,2,3
Human Resources,Human Resources,1,12,0,0,3,0,1,1,3
Sales,Sales Executive,2,16,0,3,1,4,5,2,2
Research & Development,Manager R&D,3,14,1,3,2,4,5,1,3
Research & Development,Research Scientist,3,13,2,2,4,3,4,1,3
Research & Development,Manager R&D,1,22,0,4,3,2,5,1,3
Sales,Sales Executive,1,21,2,8,2,1,14,3,2
Sales,Sales Executive,4,18,1,7,2,1,8,3,3
Research & Development,Laboratory Technician,3,13,7,7,2,6,7,1,3
Research & Development,Manager R&D,3,18,1,1,3,2,5,2,3
Research & Development,Manager R&D,3,12,0,1,2,3,4,1,3
Sales,Sales Representative,1,14,0,0,2,0,1,1,3
Sales,Sales Executive,3,11,0,8,3,9,10,2,3
Sales,Sales Executive,4,14,0,7,3,7,7,2,3
Research & Development,Manager R&D,4,24,0,0,3,0,1,2,4
Sales,Sales Executive,1,11,0,7,3,8,10,2,3
Sales,Sales Executive,1,13,2,2,2,2,2,3,2
Research & Development,Research Scientist,1,11,2,3,2,3,4,2,2
Research & Development,Manager R&D,4,20,2,7,3,8,9,2,4
Research & Development,Healthcare Representative,1,17,0,9,3,9,10,3,3
Human Resources,Human Resources,4,11,1,2,3,2,6,1,3
Human Resources,Manager,3,18,1,9,3,4,10,5,3
Research & Development,Manager R&D,4,11,0,0,3,0,1,1,3
Sales,Sales Executive,2,12,11,8,3,10,20,4,2
Research & Development,Research Scientist,4,12,3,9,3,7,20,2,3
Research & Development,Research Director,3,20,4,7,4,8,11,3,4
Research & Development,Manufacturing Director,3,19,1,2,3,4,5,2,3
Research & Development,Healthcare Representative,2,12,1,3,2,2,4,2,2
Research & Development,Laboratory Technician,4,13,1,2,4,4,5,1,3
Research & Development,Laboratory Technician,4,11,9,9,4,4,10,2,3
Sales,Sales Executive,2,14,5,8,3,10,11,2,2
Human Resources,Human Resources,3,14,1,0,3,2,2,1,3
Research & Development,Laboratory Technician,4,13,1,8,2,7,12,1,3
Research & Development,Laboratory Technician,4,19,0,2,2,2,2,1,3
Research & Development,Manager R&D,1,23,12,14,3,11,17,3,2
Sales,Sales Executive,4,15,5,13,3,8,15,2,3
Sales,Sales Representative,1,19,1,2,3,2,2,1,2
Research & Development,Research Scientist,4,17,1,3,2,2,4,2,3
Research & Development,Research Scientist,4,22,1,3,3,0,5,1,4
Research & Development,Research Scientist,3,18,5,8,1,12,13,3,2
Research & Development,Research Director,4,11,2,2,3,2,2,1,3
Research & Development,Research Scientist,4,12,1,2,4,2,3,1,3
Research & Development,Research Scientist,2,19,0,7,3,8,10,2,3
Research & Development,Healthcare Representative,2,13,8,7,3,1,9,2,2
Research & Development,Laboratory Technician,3,13,4,2,3,1,6,1,3
Research & Development,Laboratory Technician,1,19,0,0,2,0,1,1,3
Sales,Sales Representative,2,14,2,2,3,2,2,1,2
Research & Development,Research Scientist,1,13,1,7,3,7,7,2,2
Research & Development,Research Director,2,12,1,16,3,11,18,3,2
Research & Development,Research Director,3,25,6,11,3,8,16,3,4
Sales,Sales Executive,1,22,0,3,2,4,5,2,3
Sales,Sales Representative,1,15,0,8,2,0,9,1,3
Research & Development,Research Scientist,2,12,1,3,3,2,4,1,2
Sales,Sales Representative,3,11,1,2,3,2,2,1,3
Sales,Sales Representative,4,19,1,0,2,0,1,1,3
Sales,Sales Executive,1,19,3,7,3,4,9,3,2
Research & Development,Manufacturing Director,4,13,0,2,3,2,4,2,3
Research & Development,Healthcare Representative,3,21,1,12,2,9,13,2,4
Research & Development,Research Scientist,1,14,2,2,4,2,2,1,2
Research & Development,Laboratory Technician,4,11,9,9,1,8,10,1,2
Research & Development,Manufacturing Director,1,23,0,7,3,10,20,4,3
Sales,Sales Executive,4,21,1,7,3,7,8,2,4
Sales,Sales Executive,4,24,11,12,2,11,15,2,4
Sales,Sales Executive,3,11,0,4,3,4,5,2,3
Research & Development,Research Scientist,4,14,1,2,3,2,4,1,3
Human Resources,Human Resources,3,16,1,0,3,7,9,3,3
Sales,Sales Executive,1,11,1,7,3,9,10,2,2
Sales,Sales Executive,2,12,0,3,3,1,6,2,4
Sales,Sales Executive,2,13,0,3,2,0,6,2,3
Research & Development,Research Scientist,3,14,2,2,3,2,2,1,3
Research & Development,Research Scientist,3,14,0,2,4,2,10,2,3
Research & Development,Research Scientist,3,14,0,3,3,2,5,1,3
Research & Development,Research Scientist,3,12,1,3,3,1,4,1,3
Research & Development,Research Scientist,4,13,0,3,3,3,4,2,3
Research & Development,Research Scientist,4,14,0,4,1,4,5,1,2
Sales,Sales Executive,4,13,2,2,3,0,3,3,3
Sales,Sales Executive,2,11,9,9,2,6,20,4,2
Research & Development,Manufacturing Director,2,19,1,4,3,7,9,2,2
Sales,Sales Representative,4,18,0,2,3,0,4,1,3
Research & Development,Healthcare Representative,4,15,1,7,3,7,7,3,3
Research & Development,Manufacturing Director,2,20,0,2,3,3,6,2,3
Sales,Sales Executive,4,14,0,6,2,8,9,2,3
Research & Development,Laboratory Technician,2,12,1,3,4,2,4,2,3
Sales,Sales Executive,2,11,0,4,1,5,6,2,2
Development,Developer,1,12,2,2,3,2,2,1,2
Development,Senior Developer,4,13,3,7,2,6,7,1,3
Development,Senior Developer,3,20,0,0,2,0,1,1,4
Development,Senior Developer,4,22,0,0,3,0,1,1,4
Development,Senior Developer,3,13,7,7,2,7,7,2,3
Development,Developer,1,13,0,4,3,3,5,1,3
Development,Developer,1,17,4,2,2,3,5,1,2
Development,Senior Developer,2,11,1,2,3,2,2,1,2
Development,Developer,3,14,0,2,3,3,4,1,3
Development,Senior Developer,2,11,8,9,3,8,10,3,2
Development,Senior Developer,4,13,0,0,2,0,1,1,3
Sales,Manager,1,16,3,8,3,7,25,4,2
Development,Developer,4,11,1,2,3,2,3,1,3
Development,Developer,1,18,1,2,2,3,4,2,3
Development,Developer,1,11,2,6,3,11,12,3,3
Development,Developer,2,11,1,2,3,3,4,1,3
Development,Senior Developer,3,11,4,13,2,8,14,5,3
Development,Senior Developer,2,22,6,2,3,7,10,1,3
Sales,Sales Executive,3,11,4,7,3,2,9,2,3
Development,Developer,1,14,5,6,3,17,22,3,3
Sales,Manager,2,12,2,2,2,1,2,5,2
Development,Developer,3,11,0,1,3,0,1,1,3
Development,Technical Architect,4,13,1,2,4,3,4,2,3
Development,Developer,2,16,2,0,2,0,2,1,3
Development,Technical Architect,4,12,1,3,2,4,5,1,3
Sales,Sales Representative,1,14,0,2,3,2,3,1,3
Sales,Sales Representative,4,13,2,2,3,2,2,1,3
Development,Developer,2,14,0,1,4,0,1,1,3
Sales,Sales Executive,3,19,1,3,3,3,5,2,3
Development,Developer,3,12,0,0,3,0,1,1,3
Development,Technical Architect,4,13,0,0,3,0,1,1,3
Development,Technical Architect,1,12,0,0,2,1,1,1,3
Sales,Sales Executive,4,15,1,8,3,7,9,3,3
Development,Developer,3,23,3,8,3,7,12,2,4
Sales,Sales Executive,2,20,8,5,3,7,9,2,2
Development,Developer,2,21,0,0,3,0,1,1,4
Sales,Sales Executive,1,21,0,6,3,8,9,2,3
Development,Technical Architect,4,19,0,0,3,1,1,1,3
Development,Developer,1,13,0,0,3,0,1,3,3
Development,Technical Architect,3,13,2,2,2,2,2,1,3
Sales,Sales Executive,2,21,1,3,2,3,4,2,2
Development,Technical Architect,3,13,2,0,3,3,4,3,3
Sales,Sales Executive,3,19,0,2,2,0,2,2,3
Development,Developer,1,12,8,14,3,12,15,3,2
Sales,Sales Executive,2,22,1,8,2,8,9,3,2
Development,Business Analyst,3,15,2,2,3,2,2,1,3
Development,Developer,4,22,1,7,2,7,7,2,4
Development,Business Analyst,1,18,0,5,4,7,7,2,3
Development,Developer,1,22,7,8,3,8,9,2,3
Development,Developer,4,11,9,3,3,9,10,2,3
Development,Developer,2,12,13,3,2,8,27,5,3
Sales,Sales Executive,1,11,7,16,2,9,21,3,2
Development,Business Analyst,3,13,12,14,3,8,17,3,3
Development,Business Analyst,2,13,0,5,3,3,6,2,4
Development,Business Analyst,2,17,0,0,3,0,1,3,3
Development,Developer,2,13,1,2,2,2,3,1,3
Development,Developer,4,17,0,0,2,0,1,1,3
Development,Business Analyst,3,23,0,4,3,4,5,1,4
Development,Business Analyst,3,17,1,1,3,0,1,1,3
Development,Developer,2,17,0,4,3,9,10,2,3
Development,Developer,2,12,0,0,3,0,1,1,3
Development,Developer,3,23,1,7,3,8,11,2,4
Sales,Sales Executive,3,14,2,13,3,8,15,2,3
Human Resources,Human Resources,2,22,0,2,3,2,4,2,3
Development,Developer,4,12,3,8,2,0,10,2,3
Development,Business Analyst,2,18,0,4,3,4,6,1,3
Sales,Sales Executive,1,14,1,0,3,0,1,3,3
Development,Developer,2,12,1,11,3,9,13,2,3
Development,Business Analyst,1,15,1,2,3,3,5,2,3
Sales,Sales Representative,3,13,0,0,3,0,0,1,3
Development,Developer,3,19,10,10,3,8,11,2,3
Sales,Sales Executive,3,16,4,8,3,7,9,3,3
Development,Developer,3,22,11,3,2,11,22,4,4
Sales,Sales Executive,3,22,1,7,1,0,10,2,3
Sales,Sales Executive,3,12,2,8,2,7,11,2,3
Development,Developer,3,13,9,9,2,5,10,3,3
Sales,Sales Executive,2,16,5,8,3,7,11,2,2
Sales,Sales Executive,1,21,0,2,2,2,3,2,3
Sales,Sales Executive,2,15,0,4,4,4,5,2,4
Sales,Sales Executive,4,13,1,10,2,8,37,4,3
Development,Developer,2,12,1,2,4,2,3,2,3
Human Resources,Human Resources,3,22,0,2,3,2,3,1,4
Development,Developer,4,13,0,0,3,0,1,1,3
Development,Developer,1,14,2,13,3,10,16,2,3
Development,Business Analyst,3,14,0,0,4,0,1,2,3
Development,Business Analyst,1,19,0,3,2,7,8,5,3
Sales,Sales Executive,3,11,0,4,3,3,6,2,3
Development,Business Analyst,4,11,2,2,3,1,2,1,3
Development,Developer,2,15,0,0,3,0,0,1,3
Development,Developer,1,24,0,7,3,6,9,2,4
Human Resources,Manager,4,12,4,3,3,4,5,4,3
Development,Business Analyst,2,12,1,3,3,2,5,1,3
Development,Business Analyst,3,15,0,0,3,0,1,2,3
Sales,Sales Executive,3,12,1,3,3,3,5,3,3
Development,Business Analyst,3,12,5,10,3,8,11,3,3
Development,Developer,1,22,0,0,3,0,1,1,4
Sales,Manager,3,12,4,12,4,12,25,4,3
Sales,Sales Executive,3,13,0,7,4,7,7,2,3
Development,Developer,1,13,15,18,3,15,20,5,3
Sales,Sales Executive,2,18,7,7,2,7,7,2,2
Development,Developer,3,19,4,4,2,3,5,1,3
Development,Developer,4,12,15,10,2,6,40,3,3
Sales,Sales Representative,4,19,0,0,2,0,0,1,3
Development,Developer,3,14,2,1,3,1,2,1,3
Development,Developer,3,14,5,11,2,11,15,2,3
Development,Developer,2,12,1,2,3,2,3,1,3
Sales,Sales Executive,3,11,2,2,3,1,2,3,3
Sales,Sales Executive,2,11,2,2,3,2,2,2,2
Sales,Sales Executive,3,13,0,7,3,7,9,3,3
Human Resources,Human Resources,3,23,5,7,3,7,8,1,4
Development,Developer,2,20,0,2,3,1,3,2,3
Development,Business Analyst,1,15,0,2,3,3,4,3,4
Sales,Sales Executive,1,18,2,2,3,2,2,2,2
Human Resources,Human Resources,3,19,4,9,1,7,11,2,3
Development,Technical Lead,3,13,0,5,2,3,6,1,3
Development,Developer,4,20,2,2,3,2,3,2,4
Development,Developer,1,14,0,4,2,4,5,1,3
Development,Developer,4,14,2,2,3,2,3,1,3
Development,Developer,3,21,1,0,3,4,5,1,4
Development,Technical Lead,2,14,0,0,3,0,1,1,3
Sales,Sales Executive,3,13,0,8,3,6,10,3,3
Sales,Sales Representative,2,20,4,7,1,5,7,2,2
Development,Developer,2,18,0,9,1,15,17,2,3
Sales,Sales Executive,2,14,3,8,3,7,9,3,2
Development,Technical Lead,4,13,0,7,3,9,10,2,3
Development,Technical Lead,2,20,0,0,2,0,1,1,4
Sales,Sales Executive,3,11,2,11,2,11,12,3,3
Sales,Sales Representative,3,18,1,3,3,2,4,1,3
Development,Developer,4,18,2,2,1,2,2,1,3
Development,Developer,3,11,0,2,1,2,5,1,3
Development,Developer,3,16,1,3,1,4,5,3,3
Development,Technical Lead,3,15,0,1,2,1,1,1,3
Development,Technical Lead,3,15,4,4,3,4,5,5,3
Development,Developer,1,12,1,8,3,8,9,1,3
Sales,Sales Executive,2,12,7,9,3,4,10,3,2
Sales,Sales Executive,1,22,0,3,4,7,8,2,4
Development,Developer,3,20,1,4,3,4,5,1,4
Development,Technical Lead,3,16,1,2,2,1,5,1,3
Sales,Sales Representative,3,21,0,0,4,0,0,1,4
Development,Technical Lead,4,12,7,7,2,2,8,1,3
Development,Developer,3,11,6,9,3,10,12,2,3
Sales,Sales Executive,3,11,0,4,4,3,5,2,3
Development,Developer,3,18,2,2,3,2,2,1,3
Development,Developer,3,14,0,1,4,2,3,1,3
Development,Developer,2,22,1,0,2,0,1,1,4
Sales,Sales Executive,2,25,15,13,3,7,24,3,2
Development,Technical Lead,3,12,2,2,3,1,2,1,3
Development,Developer,4,15,1,2,3,2,3,1,3
Sales,Sales Representative,2,22,0,3,2,2,4,1,3
Development,Developer,3,15,0,2,2,2,3,1,3
Development,Technical Lead,4,11,1,2,3,3,4,2,3
Development,Developer,4,13,1,7,3,6,8,1,3
Development,Developer,4,14,9,8,3,9,20,5,3
Development,Technical Lead,4,17,1,9,2,9,10,2,3
Development,Developer,4,18,1,7,3,0,7,4,3
Development,Developer,3,14,11,18,3,9,33,5,3
Development,Developer,4,16,0,7,2,3,7,1,3
Development,Developer,2,13,0,0,3,1,1,2,3
Development,Technical Lead,4,14,2,4,4,2,5,1,3
Development,Technical Lead,1,23,11,8,3,8,20,4,3
Development,Developer,2,12,1,7,2,7,8,1,3
Development,Developer,2,11,1,2,3,2,6,2,3
Development,Developer,3,16,0,3,3,2,5,2,3
Development,Technical Lead,4,14,0,0,3,0,1,2,3
Development,Technical Lead,4,18,1,7,1,7,7,2,3
Development,Developer,3,19,2,2,3,0,2,2,3
Development,Technical Lead,4,15,1,7,3,7,7,2,3
Development,Developer,4,17,2,3,4,0,5,1,3
Development,Developer,3,15,3,2,4,7,7,2,3
Development,Technical Lead,2,19,0,0,3,0,1,2,3
Sales,Sales Executive,2,22,1,4,2,9,10,3,2
Development,Technical Lead,4,16,2,2,2,2,4,1,3
Development,Developer,2,13,1,1,3,7,8,1,3
Development,Technical Lead,4,14,0,2,1,2,3,2,3
Sales,Sales Executive,4,11,9,8,2,8,14,3,3
Sales,Sales Executive,4,14,0,7,3,7,7,2,3
